date,profile_id,longitude,latitude,upper_depth,lower_depth,clay,phaq,sand,silt,tceq
1969-8-11,1358127,-100.4624931532973,21.496250642245176,0,15,40.0,6.3,44.0,16.0,0.0
1969-8-15,1601435,-101.69588720366309,21.74167304403519,0,12,22.0,6.1,48.0,30.0,0.0
1969-8-15,1601435,-101.69588720366309,21.74167304403519,12,28,26.0,6.4,46.0,28.0,0.0
1969-8-5,1496958,-101.48303583344769,21.801815698525886,0,15,14.0,6.2,62.0,24.0,0.0
1969-8-7,1219131,-101.55262161345883,21.67496685979649,0,30,16.0,6.4,58.0,26.0,0.0
1969-9-7,1253950,-100.81132106341794,21.916830055077874,0,20,28.0,6.0,54.0,18.0,0.0
1969-9-7,1323320,-101.82788474263606,21.271137577257935,0,17,12.0,6.1,68.0,20.0,0.0
1969-9-7,1323320,-101.82788474263606,21.271137577257935,17,30,18.0,6.1,56.0,26.0,0.0
1970-1-8,1184273,-102.63353609431066,22.171761859229512,0,25,20.0,6.5,50.0,30.0,0.0
1970-10-16,1427624,-103.62526141671093,22.3604543343656,0,18,26.0,5.7,60.0,14.0,0.0
1970-10-17,1288656,-103.51331574655457,22.454840563490134,0,10,30.0,6.0,34.0,36.0,0.0
1970-10-17,1288656,-103.51331574655457,22.454840563490134,10,18,28.0,6.1,40.0,32.0,0.0
1970-10-17,1288656,-103.51331574655457,22.454840563490134,18,25,34.0,7.0,28.0,38.0,0.0
1970-10-8,1149371,-103.32354953102134,22.309332219197515,0,20,20.0,7.0,54.0,26.0,0.0
1970-10-9,1670816,-103.42117178166045,22.314314849347515,0,20,20.0,6.1,56.0,24.0,0.0
1970-11-16,1636207,-103.77677305085383,22.781553723888873,0,14,26.0,6.0,38.0,36.0,0.0
1970-11-16,1636207,-103.77677305085383,22.781553723888873,14,25,28.0,5.4,30.0,42.0,0.0
1970-7-19,1601386,-102.79629730051168,22.687784471372243,0,13,33.0,5.9,39.0,28.0,0.0
1970-7-26,1670814,-102.71688303596454,22.385205688418726,0,11,12.0,6.3,60.0,28.0,0.0
1970-8-11,1496864,-104.6658607937395,23.319201391549175,0,25,18.0,5.6,32.0,50.0,0.0
1970-8-17,1636418,-102.48900079983926,26.671892652009262,0,29,36.0,6.0,28.0,36.0,0.0
1970-9-16,1601384,-103.77426212192294,22.892131174366064,0,14,12.0,5.6,56.0,32.0,0.0
1970-9-18,1496880,-103.69235700057123,22.873308552631425,7,23,52.0,5.2,20.0,28.0,0.0
1970-9-24,1184269,-103.14845338702773,22.859997619055218,0,16,20.0,5.9,56.0,24.0,0.0
1970-9-26,1392782,-103.04406916020025,22.842219638897713,0,27,16.0,6.4,58.0,26.0,0.0
1970-9-27,1462178,-103.32811334460669,22.82214587663193,0,16,48.0,6.7,38.0,14.0,0.0
1970-9-5,1496882,-102.90305567514581,22.518861265037426,0,21,19.0,6.9,47.0,34.0,0.0
1971-10-18,1427702,-101.16543787496973,20.294257568076798,0,22,60.0,6.7,24.0,16.0,0.0
1971-10-21,1427700,-101.6692424412262,20.807946324959932,0,18,44.0,6.8,26.0,30.0,0.0
1971-10-22,1496846,-102.19816100283929,20.980045005289288,0,23,24.0,6.8,40.0,36.0,0.0
1971-10-3,1427701,-101.238223812313,20.647509099302134,0,20,54.0,6.7,30.0,16.0,0.0
1971-10-7,1427703,-101.1335652480424,20.141503080060083,0,20,60.0,6.2,26.0,14.0,0.0
1971-11-6,1601454,-100.74494516001711,20.03754689874115,0,22,46.0,6.5,40.0,14.0,0.0
1971-11-8,1462252,-100.565061602455,20.460967535105976,0,20,62.0,6.5,24.0,14.0,0.0
1971-12-1,1149340,-102.62781336917645,20.952244281650177,0,17,56.0,6.3,20.0,24.0,0.0
1971-12-1,1636173,-102.50207078900648,20.970768883606922,0,15,18.0,6.7,54.0,28.0,0.0
1971-12-1,1636173,-102.50207078900648,20.970768883606922,15,21,14.0,6.9,58.0,28.0,0.0
1971-12-10,1566586,-100.01371228867816,20.070081208570695,0,19,20.0,5.8,58.0,22.0,0.0
1971-12-10,1566586,-100.01371228867816,20.070081208570695,19,30,24.0,5.9,58.0,18.0,0.0
1971-12-11,1219148,-101.4291797550349,20.789950290992937,0,30,46.0,6.9,38.0,16.0,0.0
1971-12-12,1184328,-101.74149511453743,21.985065591521078,0,16,36.0,6.9,34.0,30.0,0.0
1971-12-12,1531753,-100.11256088455853,21.320322107508705,0,15,38.0,4.8,20.0,42.0,0.0
1971-12-7,1253953,-101.76718312578653,21.334268617849684,0,15,18.0,5.8,66.0,16.0,0.0
1971-12-7,1462236,-100.07554164711941,21.30763690573844,0,13,22.0,7.0,46.0,32.0,0.0
1971-12-8,1462235,-101.79988238861101,21.443864529680607,0,13,32.0,6.1,42.0,26.0,0.0
1971-12-8,1462235,-101.79988238861101,21.443864529680607,13,29,22.0,6.2,52.0,26.0,0.0
1971-12-8,1462237,-100.88559289280164,21.29314699855961,0,13,28.0,6.0,44.0,28.0,0.0
1971-12-8,1462237,-100.88559289280164,21.29314699855961,13,27,28.0,6.2,46.0,26.0,0.0
1971-2-20,1149461,-101.90554295526296,20.129912255615384,0,25,52.0,6.1,28.0,20.0,0.0
1971-3-31,1427622,-103.70315083525867,22.647652453426602,0,20,26.0,6.5,50.0,24.0,0.0
1971-4-13,1601394,-104.22648194934482,21.558666322029058,0,30,20.0,5.2,56.0,24.0,0.0
1971-4-2,1636212,-104.15287175553766,21.536554660925397,0,15,40.0,5.9,38.0,22.0,0.0
1971-4-3,1288661,-104.0692798273489,21.719720948239,0,30,34.0,5.9,44.0,22.0,0.0
1971-4-3,1601392,-104.96833209703573,21.875936875219782,0,24,30.0,4.8,32.0,38.0,0.0
1971-7-15,1392829,-101.17472057508594,21.454840384908465,0,10,28.0,6.8,38.0,34.0,0.0
1971-7-15,1392829,-101.17472057508594,21.454840384908465,10,20,40.0,6.3,38.0,22.0,0.0
1971-7-16,1358128,-101.23379138042708,21.421869006614646,0,16,22.0,5.7,52.0,26.0,0.0
