date,profile_id,longitude,latitude,upper_depth,lower_depth,clay,elcosp,orgc,phaq,sand,silt,geometry,soil_type,slopemean,bedrock
1969-8-11,1358127,-100.4624931532973,21.496250642245176,0,15,40.0,2.0,26.0,6.3,44.0,16.0,POINT (-100.4624931532973 21.496250642245176),LUVISOL CROMICO,7.94614315032959,rocas_igneas
1969-8-15,1601435,-101.69588720366308,21.74167304403519,0,12,22.0,2.0,9.0,6.1,48.0,30.0,POINT (-101.69588720366309 21.74167304403518),XEROSOL LUVICO,0.3976056396961212,rocas_igneas
1969-8-15,1601435,-101.69588720366308,21.74167304403519,0,12,22.0,2.0,9.0,6.1,48.0,30.0,POINT (-101.69588720366309 21.74167304403518),XEROSOL LUVICO,0.3976056396961212,rocas_igneas
1969-8-15,1601435,-101.69588720366308,21.74167304403519,12,28,26.0,2.0,6.0,6.4,46.0,28.0,POINT (-101.69588720366309 21.74167304403518),XEROSOL LUVICO,0.3976056396961212,rocas_igneas
1969-8-15,1601435,-101.69588720366308,21.74167304403519,12,28,26.0,2.0,6.0,6.4,46.0,28.0,POINT (-101.69588720366309 21.74167304403518),XEROSOL LUVICO,0.3976056396961212,rocas_igneas
1969-8-21,1149366,-102.5732279104481,22.971119500012318,0,18,8.0,2.0,31.0,7.5,60.0,32.0,POINT (-102.5732279104481 22.971119500012318),REGOSOL CALCARICO,0.904108845047958,rocas_sedimentarias
1969-8-5,1184329,-101.57868517715931,21.88756431824891,0,15,16.0,2.0,6.0,7.1,48.0,36.0,POINT (-101.57868517715931 21.887564318248906),XEROSOL HAPLICO,0.914784411915013,rocas_igneas
1969-8-5,1496958,-101.48303583344769,21.80181569852589,0,15,14.0,2.0,4.0,6.2,62.0,24.0,POINT (-101.48303583344769 21.801815698525893),XEROSOL HAPLICO,0.2915251179560188,rocas_igneas
1969-8-7,1219131,-101.55262161345884,21.67496685979649,0,30,16.0,2.0,10.0,6.4,58.0,26.0,POINT (-101.55262161345884 21.674966859796495),XEROSOL HAPLICO,0.9009537558222926,rocas_igneas
1969-9-7,1253950,-100.81132106341794,21.916830055077877,0,20,28.0,2.0,10.0,6.0,54.0,18.0,POINT (-100.81132106341794 21.916830055077874),FEOZEM HAPLICO,0.8494390845298767,rocas_igneas
1969-9-7,1323320,-101.82788474263606,21.27113757725793,0,17,12.0,2.0,3.0,6.1,68.0,20.0,POINT (-101.82788474263606 21.271137577257925),PLANOSOL MOLICO,1.3178818225860596,rocas_igneas
1969-9-7,1323320,-101.82788474263606,21.27113757725793,17,30,18.0,2.0,2.0,6.1,56.0,26.0,POINT (-101.82788474263606 21.271137577257925),PLANOSOL MOLICO,1.3178818225860596,rocas_igneas
1970-1-8,1184273,-102.63353609431066,22.171761859229512,0,25,20.0,2.0,27.0,6.5,50.0,30.0,POINT (-102.63353609431066 22.17176185922951),LUVISOL ORTICO,3.112087379802357,rocas_igneas
1970-1-8,1184273,-102.63353609431066,22.171761859229512,0,25,20.0,2.0,27.0,6.5,50.0,30.0,POINT (-102.63353609431066 22.17176185922951),LUVISOL ORTICO,3.112087379802357,rocas_igneas
1970-10-16,1427624,-103.62526141671091,22.3604543343656,0,18,26.0,2.0,38.0,5.7,60.0,14.0,POINT (-103.62526141671091 22.360454334365595),LUVISOL ORTICO,6.8929425239562985,rocas_igneas
1970-10-16,1427624,-103.62526141671091,22.3604543343656,0,18,26.0,2.0,38.0,5.7,60.0,14.0,POINT (-103.62526141671091 22.360454334365595),LUVISOL ORTICO,6.8929425239562985,rocas_igneas
1970-10-17,1288656,-103.51331574655455,22.454840563490134,0,10,30.0,2.0,18.0,6.0,34.0,36.0,POINT (-103.51331574655455 22.45484056349013),LUVISOL FERRICO,0.8533733385365184,rocas_igneas
1970-10-17,1288656,-103.51331574655455,22.454840563490134,0,10,30.0,2.0,18.0,6.0,34.0,36.0,POINT (-103.51331574655455 22.45484056349013),LUVISOL FERRICO,0.8533733385365184,rocas_igneas
1970-10-17,1288656,-103.51331574655455,22.454840563490134,10,18,28.0,2.0,10.0,6.1,40.0,32.0,POINT (-103.51331574655455 22.45484056349013),LUVISOL FERRICO,0.8533733385365184,rocas_igneas
1970-10-17,1288656,-103.51331574655455,22.454840563490134,10,18,28.0,2.0,10.0,6.1,40.0,32.0,POINT (-103.51331574655455 22.45484056349013),LUVISOL FERRICO,0.8533733385365184,rocas_igneas
1970-10-17,1288656,-103.51331574655455,22.454840563490134,18,25,34.0,2.0,4.0,7.0,28.0,38.0,POINT (-103.51331574655455 22.45484056349013),LUVISOL FERRICO,0.8533733385365184,rocas_igneas
1970-10-17,1288656,-103.51331574655455,22.454840563490134,18,25,34.0,2.0,4.0,7.0,28.0,38.0,POINT (-103.51331574655455 22.45484056349013),LUVISOL FERRICO,0.8533733385365184,rocas_igneas
1970-10-7,1219063,-103.2750968887554,22.05058154166174,0,28,44.0,2.0,19.0,7.8,34.0,22.0,POINT (-103.2750968887554 22.05058154166174),LUVISOL FERRICO,1.0241361778715383,rocas_igneas
1970-10-7,1566521,-103.2077767092082,22.228271875657335,0,13,20.0,2.0,23.0,7.8,56.0,24.0,POINT (-103.2077767092082 22.22827187565733),LUVISOL FERRICO,4.105205535888141,rocas_igneas
1970-10-8,1149371,-103.32354953102134,22.309332219197515,0,20,20.0,2.0,17.0,7.0,54.0,26.0,POINT (-103.32354953102134 22.30933221919751),LUVISOL FERRICO,1.6588766773541768,rocas_igneas
1970-10-9,1531695,-103.12661076004385,22.191004474213194,0,26,22.0,2.0,17.0,7.6,42.0,36.0,POINT (-103.12661076004385 22.19100447421319),CASTAÑOZEM LUVICO,2.7678158283233643,rocas_igneas
1970-10-9,1670816,-103.42117178166043,22.314314849347515,0,20,20.0,2.0,27.0,6.1,56.0,24.0,POINT (-103.42117178166043 22.31431484934751),LUVISOL FERRICO,1.0202231720874184,rocas_igneas
1970-10-9,1670816,-103.42117178166043,22.314314849347515,0,20,20.0,2.0,27.0,6.1,56.0,24.0,POINT (-103.42117178166043 22.31431484934751),LUVISOL FERRICO,1.0202231720874184,rocas_igneas
1970-11-16,1636207,-103.77677305085383,22.781553723888877,0,14,26.0,2.0,36.0,6.0,38.0,36.0,POINT (-103.77677305085383 22.78155372388887),REGOSOL EUTRICO,1.9045788288116454,rocas_igneas
1970-11-16,1636207,-103.77677305085383,22.781553723888877,14,25,28.0,2.0,60.0,5.4,30.0,42.0,POINT (-103.77677305085383 22.78155372388887),REGOSOL EUTRICO,1.9045788288116454,rocas_igneas
1970-4-10,1219037,-104.36652037030424,23.62153979525999,0,25,12.0,2.0,5.0,8.1,64.0,24.0,POINT (-104.36652037030424 23.621539795259995),CAMBISOL EUTRICO,3.2282090187072754,rocas_sedimentarias
1970-4-22,1149617,-102.78964685467962,26.534629316184827,0,20,18.0,2.0,10.0,8.8,52.0,30.0,POINT (-102.78964685467962 26.53462931618483),REGOSOL CALCARICO,0.8854020251865276,rocas_sedimentarias
1970-7-15,1531693,-102.61946442602274,22.572406290906724,0,21,19.0,2.0,15.0,7.6,55.0,26.0,POINT (-102.61946442602274 22.572406290906724),XEROSOL LUVICO,0.904108845047958,rocas_metamorficas
1970-7-15,1601385,-102.3159516314255,22.70201101460833,0,15,21.0,2.0,30.0,8.3,47.0,32.0,POINT (-102.3159516314255 22.702011014608324),XEROSOL CALCICO,0.3369639622363842,rocas_sedimentarias
1970-7-19,1601386,-102.79629730051168,22.687784471372243,0,13,33.0,2.0,46.0,5.9,39.0,28.0,POINT (-102.79629730051168 22.687784471372243),REGOSOL EUTRICO,1.8482021093381304,rocas_metamorficas
1970-7-19,1601387,-102.68175166751836,22.64761805522275,0,28,21.0,2.0,14.0,7.6,55.0,24.0,POINT (-102.68175166751836 22.647618055222747),CASTAÑOZEM LUVICO,2.0410189628601074,rocas_metamorficas
1970-7-26,1670814,-102.71688303596454,22.38520568841873,0,11,12.0,2.0,8.0,6.3,60.0,28.0,POINT (-102.71688303596454 22.38520568841873),FEOZEM HAPLICO,3.9048714637756348,rocas_igneas
1970-7-26,1670814,-102.71688303596454,22.38520568841873,11,12,38.0,2.0,7.0,7.3,38.0,24.0,POINT (-102.71688303596454 22.38520568841873),FEOZEM HAPLICO,3.9048714637756348,rocas_igneas
1970-8-10,1288884,-102.14690056927084,26.87720668924421,0,12,20.0,2.0,10.0,8.1,30.0,50.0,POINT (-102.14690056927084 26.877206689244208),SOLONCHAK ORTICO,0.22473484318249834,rocas_sedimentarias
1970-8-11,1496864,-104.6658607937395,23.31920139154917,0,25,18.0,2.0,39.0,5.6,32.0,50.0,POINT (-104.6658607937395 23.319201391549168),LUVISOL CROMICO,3.0074453353881836,rocas_igneas
1970-8-11,1566720,-102.97838530010092,26.84168447394432,0,12,22.0,2.0,8.0,8.2,50.0,28.0,POINT (-102.97838530010092 26.841684473944323),YERMOSOL CALCICO,0.43513721227645874,rocas_sedimentarias
1970-8-11,1566720,-102.97838530010092,26.84168447394432,0,12,22.0,2.0,8.0,8.2,50.0,28.0,POINT (-102.97838530010092 26.841684473944323),YERMOSOL CALCICO,0.43513721227645874,rocas_sedimentarias
1970-8-11,1566720,-102.97838530010092,26.84168447394432,0,12,22.0,2.0,8.0,8.2,50.0,28.0,POINT (-102.97838530010092 26.841684473944323),YERMOSOL CALCICO,0.43513721227645874,rocas_sedimentarias
1970-8-13,1531906,-103.5794189729942,26.79009812995949,0,9,26.0,2.0,29.0,8.0,46.0,28.0,POINT (-103.5794189729942 26.790098129959485),YERMOSOL CALCICO,0.6310419184820992,rocas_sedimentarias
1970-8-13,1531906,-103.5794189729942,26.79009812995949,9,22,30.0,2.0,11.0,8.0,48.0,22.0,POINT (-103.5794189729942 26.790098129959485),YERMOSOL CALCICO,0.6310419184820992,rocas_sedimentarias
1970-8-14,1149614,-103.40494204889492,26.775805940412027,0,17,18.0,2.0,5.0,7.8,52.0,30.0,POINT (-103.40494204889492 26.77580594041203),YERMOSOL CALCICO,0.8489650951491462,rocas_sedimentarias
1970-8-14,1219060,-102.44960886685516,22.180882015513497,0,20,28.0,2.0,11.0,7.1,54.0,18.0,POINT (-102.44960886685516 22.180882015513493),XEROSOL HAPLICO,3.0858622392018638,rocas_igneas
1970-8-14,1219060,-102.44960886685516,22.180882015513497,0,20,28.0,2.0,11.0,7.1,54.0,18.0,POINT (-102.44960886685516 22.180882015513493),XEROSOL HAPLICO,3.0858622392018638,rocas_igneas
1970-8-15,1323487,-103.69408103731942,26.727657031728526,0,20,20.0,2.0,2.0,8.4,60.0,20.0,POINT (-103.69408103731942 26.727657031728526),YERMOSOL LUVICO,0.19606316349533537,rocas_sedimentarias
1970-8-16,1149616,-102.09817266338642,26.714599713833287,0,16,18.0,2.0,11.0,8.4,80.0,2.0,POINT (-102.09817266338642 26.714599713833287),REGOSOL CALCARICO,9.341663360600608,rocas_sedimentarias
1970-8-17,1636418,-102.48900079983926,26.671892652009262,0,29,36.0,11.9,6.0,6.0,28.0,36.0,POINT (-102.48900079983926 26.671892652009255),REGOSOL CALCARICO,0.27992769661806016,rocas_sedimentarias
1970-8-18,1219307,-103.17701487094736,26.64419480911377,0,30,20.0,2.0,10.0,8.3,46.0,34.0,POINT (-103.17701487094736 26.644194809113763),YERMOSOL HAPLICO,0.8576788433960506,rocas_sedimentarias
1970-8-19,1636419,-103.79248340136228,26.629361318643245,0,18,26.0,2.0,10.0,8.4,38.0,36.0,POINT (-103.79248340136228 26.629361318643245),YERMOSOL LUVICO,0.8003498077392578,rocas_sedimentarias
1970-8-23,1671038,-103.69096198281596,26.511789931722877,0,18,22.0,2.0,5.0,9.0,54.0,24.0,POINT (-103.69096198281596 26.51178993172287),YERMOSOL LUVICO,0.19606316349533537,rocas_sedimentarias
1970-8-24,1358309,-103.82778469997406,26.50214406196325,0,20,28.0,4.0,12.0,8.7,64.0,8.0,POINT (-103.82778469997406 26.502144061963254),YERMOSOL LUVICO,0.19606316349533537,rocas_sedimentarias
1970-8-26,1288887,-102.37398579713266,26.405293637357904,0,18,8.0,2.0,22.0,7.6,35.0,57.0,POINT (-102.37398579713266 26.4052936373579),LITOSOL,2.0353875251916738,rocas_sedimentarias
1970-8-27,1636421,-102.91834578761144,26.400844263970253,0,12,26.0,2.0,1.0,8.2,18.0,56.0,POINT (-102.91834578761144 26.40084426397025),YERMOSOL HAPLICO,3.9372763293130055,rocas_sedimentarias
1970-8-27,1636421,-102.91834578761144,26.400844263970253,0,12,26.0,2.0,1.0,8.2,18.0,56.0,POINT (-102.91834578761144 26.40084426397025),YERMOSOL HAPLICO,3.9372763293130055,rocas_sedimentarias
1970-8-28,1566722,-102.8665890415592,26.39749056039476,0,15,12.0,2.0,5.0,8.4,70.0,18.0,POINT (-102.8665890415592 26.39749056039476),YERMOSOL HAPLICO,2.027323243709711,rocas_sedimentarias
1970-8-31,1671040,-103.44397464115576,26.18757309198818,0,15,52.0,2.0,6.0,8.2,22.0,26.0,POINT (-103.44397464115576 26.18757309198818),XEROSOL HAPLICO,0.19606316349533537,rocas_sedimentarias
1970-8-6,1219303,-103.45248329793864,26.98249514227496,0,4,2.0,49.1,5.0,8.2,78.0,20.0,POINT (-103.45248329793866 26.982495142274956),XEROSOL HAPLICO,0.19606316349533537,rocas_sedimentarias
1970-8-6,1219303,-103.45248329793864,26.98249514227496,4,15,2.0,27.1,2.0,8.4,94.0,4.0,POINT (-103.45248329793866 26.982495142274956),XEROSOL HAPLICO,0.19606316349533537,rocas_sedimentarias
1970-9-1,1497139,-103.76107742643546,26.14487525582581,0,19,34.0,2.0,12.0,8.2,40.0,26.0,POINT (-103.76107742643546 26.144875255825813),REGOSOL CALCARICO,0.19606316349533537,rocas_sedimentarias
1970-9-16,1601384,-103.77426212192294,22.892131174366064,0,14,12.0,2.0,14.0,5.6,56.0,32.0,POINT (-103.77426212192294 22.89213117436606),REGOSOL EUTRICO,1.9286621809005737,rocas_igneas
1970-9-18,1496880,-103.69235700057123,22.873308552631425,0,7,38.0,2.0,66.0,7.5,34.0,28.0,POINT (-103.69235700057123 22.873308552631425),REGOSOL EUTRICO,5.044877529144287,rocas_igneas
1970-9-18,1496880,-103.69235700057123,22.873308552631425,7,23,52.0,2.0,30.0,5.2,20.0,28.0,POINT (-103.69235700057123 22.873308552631425),REGOSOL EUTRICO,5.044877529144287,rocas_igneas
1970-9-2,1462384,-103.65046501429984,26.137793810431265,0,19,44.0,2.0,4.0,8.4,28.0,28.0,POINT (-103.65046501429984 26.13779381043127),XEROSOL LUVICO,0.19606316349533537,rocas_sedimentarias
1970-9-24,1184269,-103.14845338702771,22.859997619055218,0,16,20.0,2.0,12.0,5.9,56.0,24.0,POINT (-103.14845338702771 22.859997619055214),CASTAÑOZEM LUVICO,1.025401599381281,rocas_igneas
1970-9-26,1392782,-103.04406916020024,22.842219638897717,0,27,16.0,2.0,16.0,6.4,58.0,26.0,POINT (-103.04406916020024 22.842219638897717),REGOSOL EUTRICO,1.0274295793927235,rocas_igneas
1970-9-27,1462178,-103.32811334460668,22.82214587663193,0,16,48.0,2.0,36.0,6.7,38.0,14.0,POINT (-103.32811334460668 22.822145876631925),XEROSOL LUVICO,2.818922281265259,rocas_igneas
1970-9-3,1427623,-103.48420546942516,22.541580781999315,0,21,34.0,2.0,38.0,7.8,34.0,32.0,POINT (-103.48420546942516 22.54158078199931),FEOZEM HAPLICO,5.968182265758514,rocas_igneas
1970-9-3,1462385,-102.15657894160805,26.09755868977416,0,30,26.0,7.9,12.0,7.8,54.0,20.0,POINT (-102.15657894160805 26.097558689774157),XEROSOL HAPLICO,0.4560125172138214,rocas_sedimentarias
1970-9-4,1636423,-103.0617836969944,26.080056639939787,0,22,34.0,2.2,1.0,8.4,28.0,38.0,POINT (-103.0617836969944 26.080056639939784),YERMOSOL CALCICO,0.19606316349533537,rocas_sedimentarias
1970-9-5,1219311,-103.48101619601404,26.041325974550865,0,11,36.0,2.0,7.0,8.9,44.0,20.0,POINT (-103.48101619601404 26.041325974550862),SOLONCHAK ORTICO,0.19606316349533537,rocas_sedimentarias
