profile_id,latitude,longitude,upper_depth,lower_depth,date,clay,orgc,phaq,phca,sand,geometry,bedrock
1144922,52.083333333333336,0.3333333333333333,0,25,1981-6-1,31.0,16.0,7.8,7.3,35.0,POINT (0.3333333333333932 52.08333333333332),rocas_igneas
1144922,52.083333333333336,0.3333333333333333,25,41,1981-6-1,45.0,8.0,8.1,7.3,26.0,POINT (0.3333333333333932 52.08333333333332),rocas_igneas
1144922,52.083333333333336,0.3333333333333333,41,92,1981-6-1,38.0,4.0,8.1,7.5,17.0,POINT (0.3333333333333932 52.08333333333332),rocas_igneas
1144922,52.083333333333336,0.3333333333333333,92,120,1981-6-1,35.0,4.0,8.1,7.5,21.0,POINT (0.3333333333333932 52.08333333333332),rocas_igneas
1166040,52.083333333333336,0.3333333333333333,0,25,1981-6-1,31.0,16.0,7.8,7.3,35.0,POINT (0.3333333333333932 52.08333333333332),rocas_igneas
1166040,52.083333333333336,0.3333333333333333,25,41,1981-6-1,45.0,8.0,8.1,7.3,26.0,POINT (0.3333333333333932 52.08333333333332),rocas_igneas
1166040,52.083333333333336,0.3333333333333333,41,92,1981-6-1,38.0,4.0,8.1,7.5,17.0,POINT (0.3333333333333932 52.08333333333332),rocas_igneas
1166040,52.083333333333336,0.3333333333333333,92,120,1981-6-1,35.0,4.0,8.1,7.5,21.0,POINT (0.3333333333333932 52.08333333333332),rocas_igneas
1169970,53.13330078125,-2.333329916000366,0,5,????-??-??,18.0,53.0,4.0,3.6,29.0,POINT (-2.3333299160003365 53.13330078124999),rocas_igneas
1169970,53.13330078125,-2.333329916000366,5,28,????-??-??,11.0,28.0,4.5,4.1,53.0,POINT (-2.3333299160003365 53.13330078124999),rocas_igneas
1169970,53.13330078125,-2.333329916000366,28,60,????-??-??,9.0,12.0,4.8,4.4,41.0,POINT (-2.3333299160003365 53.13330078124999),rocas_igneas
1169970,53.13330078125,-2.333329916000366,60,120,????-??-??,2.0,4.0,5.0,4.7,70.0,POINT (-2.3333299160003365 53.13330078124999),rocas_igneas
1170025,55.80830001831055,-2.158329963684082,0,24,????-??-??,4.0,39.3,5.7,5.4,80.0,POINT (-2.1583299636840882 55.80830001831054),rocas_igneas
1170025,55.80830001831055,-2.158329963684082,24,55,????-??-??,19.0,18.3,5.7,5.2,58.0,POINT (-2.1583299636840882 55.80830001831054),rocas_igneas
1170025,55.80830001831055,-2.158329963684082,55,85,????-??-??,16.0,23.4,4.7,4.2,59.0,POINT (-2.1583299636840882 55.80830001831054),rocas_igneas
