date,longitude,latitude,upper_depth,lower_depth,country_name,region,continent,elcosp,orgc,phaq,sand,tceq,temperature,precipitation,landcover,silt_plus_clay,organic_matter,bulk_density
1991-08-14,-115.07201,31.415775,0,10,Mexico,Central America,Northern America,0.1,18.0,8.1,95.0,5.0,16.92475128,150.5167542,10.0,5.0,31.032,-0.2419199999999999
2008-05-08,-111.33557,31.122982,0,23,Mexico,Central America,Northern America,0.1,2.0,8.7,56.0,10.0,16.92475128,150.5167542,7.0,44.0,3.448,1.4131200000000002
1949-11-25,-110.948906,31.120768,0,20,Mexico,Central America,Northern America,0.1,6.0,5.5,72.0,0.0,16.92475128,150.5167542,10.0,28.0,10.344,0.9993600000000001
2004-03-21,-110.09582,31.0555,0,20,Mexico,Central America,Northern America,0.1,7.0,6.4,54.0,0.0,16.92475128,150.5167542,7.0,46.0,12.068,0.8959200000000002
1993-08-22,-110.8306,31.307426,0,15,Mexico,Central America,Northern America,0.2,11.0,6.4,64.0,0.0,16.92475128,150.5167542,10.0,36.0,18.964,0.48216000000000014
1907-02-28,-110.37415,31.032715,0,12,Mexico,Central America,Northern America,0.1,11.0,6.4,46.0,0.0,16.92475128,150.5167542,10.0,54.0,18.964,0.48216000000000014
1984-05-15,-114.04805,28.670015,10,25,Mexico,Central America,Northern America,4.6,4.0,6.8,47.0,0.0,16.92475128,150.5167542,17.0,53.0,6.896,1.2062400000000002
1974-09-09,-113.10224,28.051235,0,20,Mexico,Central America,Northern America,0.1,2.0,6.7,43.0,0.0,16.92475128,150.5167542,17.0,57.0,3.448,1.4131200000000002
1928-01-03,-113.89557,28.627884,0,9,Mexico,Central America,Northern America,0.1,4.0,6.9,43.0,0.0,16.92475128,150.5167542,17.0,57.0,6.896,1.2062400000000002
1926-11-07,-116.30186,31.460772,0,16,Mexico,Central America,Northern America,0.1,4.0,6.9,39.0,0.0,16.92475128,150.5167542,10.0,61.0,6.896,1.2062400000000002
1945-04-18,-114.76033,29.765198,0,8,Mexico,Central America,Northern America,0.0,2.0,6.4,87.0,0.0,16.92475128,150.5167542,7.0,13.0,3.448,1.4131200000000002
1952-06-24,-109.88722,31.283827,0,20,Mexico,Central America,Northern America,0.2,5.0,4.9,70.0,0.0,16.92475128,150.5167542,7.0,30.0,8.62,1.1028000000000002
2023-02-10,-108.73473,31.32577,0,10,Mexico,Central America,Northern America,0.1,27.0,6.2,48.0,0.0,16.92475128,150.5167542,10.0,52.0,46.548,-1.1728799999999997
1923-12-28,-116.25233,31.884106,0,18,Mexico,Central America,Northern America,0.1,5.0,6.4,81.0,0.0,16.92475128,150.5167542,7.0,19.0,8.62,1.1028000000000002
1945-04-06,-115.80738,30.670797,0,13,Mexico,Central America,Northern America,0.0,1.0,6.6,69.0,0.0,16.92475128,150.5167542,9.0,31.0,1.724,1.5165600000000001
1933-10-21,-115.80738,30.670797,13,30,Mexico,Central America,Northern America,0.0,1.0,6.6,63.0,0.0,16.92475128,150.5167542,9.0,37.0,1.724,1.5165600000000001
1993-04-14,-108.43853,31.089128,0,25,Mexico,Central America,Northern America,0.0,5.0,6.0,50.0,0.0,16.92475128,150.5167542,16.0,50.0,8.62,1.1028000000000002
1901-03-21,-116.59223,32.564598,0,9,Mexico,Central America,Northern America,0.0,4.0,6.4,93.0,0.0,16.92475128,150.5167542,7.0,7.0,6.896,1.2062400000000002
1931-04-21,-116.59223,32.564598,9,27,Mexico,Central America,Northern America,0.1,6.0,6.8,77.0,0.0,16.92475128,150.5167542,7.0,23.0,10.344,0.9993600000000001
2004-09-23,-117.079056,32.48768,0,18,Mexico,Central America,Northern America,0.1,7.0,5.4,61.0,0.0,16.92475128,150.5167542,7.0,39.0,12.068,0.8959200000000002
2004-12-08,-111.57777,30.397736,0,19,Mexico,Central America,Northern America,0.0,4.0,8.6,60.0,8.0,16.13277245,138.5572357,7.0,40.0,6.896,1.2062400000000002
1988-04-28,-112.42057,30.593561,0,17,Mexico,Central America,Northern America,0.0,4.0,8.4,36.0,3.0,16.04876137,109.4155121,10.0,64.0,6.896,1.2062400000000002
1955-04-25,-102.43874,29.394379,0,29,Mexico,Central America,Northern America,0.1,12.0,8.4,36.0,350.0,15.45202351,96.69832611,7.0,64.0,20.688,0.37872000000000017
1998-02-12,-101.72744,29.328814,0,27,Mexico,Central America,Northern America,0.2,7.0,7.8,24.0,350.0,15.45202351,96.69832611,7.0,76.0,12.068,0.8959200000000002
1937-10-21,-98.58135,19.494617,0,22,Mexico,Central America,Northern America,0.0,16.0,6.4,42.0,10.0,15.45202351,96.69832611,9.0,58.0,27.584,-0.03503999999999974
2003-03-13,-116.73453,32.46771,0,23,Mexico,Central America,Northern America,0.4,17.0,6.0,48.0,0.0,15.45202351,96.69832611,7.0,52.0,29.308,-0.13847999999999971
1975-02-25,-116.67787,32.537148,0,7,Mexico,Central America,Northern America,0.1,15.0,5.8,72.0,0.0,15.45202351,96.69832611,10.0,28.0,25.86,0.06840000000000024
2009-09-15,-116.67787,32.537148,7,19,Mexico,Central America,Northern America,0.1,4.0,6.2,74.0,0.0,15.45202351,96.69832611,10.0,26.0,6.896,1.2062400000000002
1997-05-05,-99.41725,19.518398,0,15,Mexico,Central America,Northern America,0.2,47.0,6.2,46.0,0.0,15.45202351,96.69832611,9.0,54.0,81.028,-3.2416799999999997
1951-06-01,-116.90064,32.257988,0,12,Mexico,Central America,Northern America,0.4,13.0,7.7,26.0,96.0,15.45202351,96.69832611,7.0,74.0,22.412,0.2752800000000002
1981-11-15,-116.90064,32.257988,12,27,Mexico,Central America,Northern America,0.2,7.0,8.1,18.0,171.0,15.45202351,96.69832611,7.0,82.0,12.068,0.8959200000000002
1997-03-25,-102.02996,21.973906,0,4,Mexico,Central America,Northern America,0.1,16.0,5.3,58.0,0.0,15.45202351,96.69832611,9.0,42.0,27.584,-0.03503999999999974
1989-05-22,-102.02996,21.973906,4,21,Mexico,Central America,Northern America,0.1,12.0,6.3,54.0,0.0,15.45202351,96.69832611,9.0,46.0,20.688,0.37872000000000017
1982-04-01,-99.40456,19.641893,0,25,Mexico,Central America,Northern America,0.1,15.0,4.9,40.0,0.0,15.45202351,96.69832611,9.0,60.0,25.86,0.06840000000000024
1948-03-11,-116.86399,32.359093,0,16,Mexico,Central America,Northern America,0.2,18.0,6.2,60.0,0.0,15.45202351,96.69832611,7.0,40.0,31.032,-0.2419199999999999
1966-01-08,-116.855644,32.282986,0,20,Mexico,Central America,Northern America,0.1,11.0,6.0,52.0,0.0,15.45202351,96.69832611,7.0,48.0,18.964,0.48216000000000014
1905-10-01,-102.53145,21.343628,0,5,Mexico,Central America,Northern America,0.4,20.0,6.4,68.0,28.0,15.45202351,96.69832611,10.0,32.0,34.48,-0.4487999999999994
1993-09-17,-102.53145,21.343628,5,26,Mexico,Central America,Northern America,0.0,3.0,7.4,66.0,22.0,15.45202351,96.69832611,10.0,34.0,5.172,1.3096800000000002
1950-05-21,-116.87062,32.102436,0,12,Mexico,Central America,Northern America,0.1,12.0,6.6,56.0,0.0,15.45202351,96.69832611,7.0,44.0,20.688,0.37872000000000017
2005-09-12,-116.8057,32.06771,0,9,Mexico,Central America,Northern America,0.2,15.0,6.3,46.0,0.0,15.45202351,96.69832611,7.0,54.0,25.86,0.06840000000000024
1919-05-17,-116.8057,32.06771,9,21,Mexico,Central America,Northern America,0.2,11.0,6.2,40.0,0.0,15.45202351,96.69832611,7.0,60.0,18.964,0.48216000000000014
1917-10-16,-103.04747,21.030828,0,3,Mexico,Central America,Northern America,0.2,22.0,5.3,44.0,0.0,15.45202351,96.69832611,12.0,56.0,37.928,-0.6556799999999998
2016-06-19,-103.04747,21.030828,3,22,Mexico,Central America,Northern America,0.0,10.0,6.3,42.0,0.0,15.45202351,96.69832611,12.0,58.0,17.24,0.5856000000000003
1917-11-21,-102.585976,21.041178,0,7,Mexico,Central America,Northern America,0.1,8.0,5.6,54.0,0.0,15.45202351,96.69832611,7.0,46.0,13.792,0.7924800000000002
2011-12-18,-102.585976,21.041178,7,19,Mexico,Central America,Northern America,0.0,6.0,6.4,50.0,0.0,15.45202351,96.69832611,7.0,50.0,10.344,0.9993600000000001
1946-09-22,-98.684715,19.562061,7,22,Mexico,Central America,Northern America,0.0,12.0,6.6,70.0,0.0,15.45202351,96.69832611,8.0,30.0,20.688,0.37872000000000017
1989-08-19,-116.64369,32.06271,0,25,Mexico,Central America,Northern America,0.1,4.0,6.4,44.0,0.0,15.45202351,96.69832611,10.0,56.0,6.896,1.2062400000000002
1992-12-27,-116.57869,32.073544,0,11,Mexico,Central America,Northern America,0.2,15.0,6.8,66.0,0.0,15.45202351,96.69832611,7.0,34.0,25.86,0.06840000000000024
1983-04-20,-102.93271,21.30773,0,2,Mexico,Central America,Northern America,0.3,23.0,6.0,52.0,0.0,15.45202351,96.69832611,10.0,48.0,39.652,-0.7591199999999998
1937-04-16,-102.85527,21.253078,0,2,Mexico,Central America,Northern America,0.1,22.0,7.9,52.0,25.0,15.45202351,96.69832611,10.0,48.0,37.928,-0.6556799999999998
1941-01-04,-102.85527,21.253078,2,16,Mexico,Central America,Northern America,0.0,5.0,8.0,64.0,17.0,15.45202351,96.69832611,10.0,36.0,8.62,1.1028000000000002
1987-10-26,-116.53315,32.312164,3,12,Mexico,Central America,Northern America,0.2,10.0,7.4,68.0,63.0,13.86884212,43.62361145,7.0,32.0,17.24,0.5856000000000003
1980-08-01,-116.52009,32.229103,0,9,Mexico,Central America,Northern America,0.2,11.0,6.7,40.0,0.0,13.86884212,43.62361145,7.0,60.0,18.964,0.48216000000000014
1901-02-21,-116.52009,32.229103,9,16,Mexico,Central America,Northern America,0.1,7.0,6.4,54.0,0.0,13.86884212,43.62361145,7.0,46.0,12.068,0.8959200000000002
1970-02-19,-103.097496,21.49427,0,6,Mexico,Central America,Northern America,0.1,16.0,8.0,48.0,65.0,13.86884212,43.62361145,10.0,52.0,27.584,-0.03503999999999974
1969-10-26,-103.097496,21.49427,6,22,Mexico,Central America,Northern America,0.1,12.0,8.2,42.0,50.0,13.86884212,43.62361145,10.0,58.0,20.688,0.37872000000000017
2007-08-08,-102.80651,21.582663,0,2,Mexico,Central America,Northern America,0.1,12.0,5.5,50.0,0.0,13.86884212,43.62361145,7.0,50.0,20.688,0.37872000000000017
