,upper_depth,lower_depth,elcosp,orgc,phaq,sand,tceq,temperature,precipitation,organic_matter,bulk_density,silt_plus_clay,landcover,geometry,spatial_lag,moran_i,dist_knn_km,knn_target_mean,dist_to_hotspot_km
1,0,4,0.8950495049504951,46.3,7.2768608414239475,30.0,46.3192068429238,15.48587412941641,108.64423184496617,79.82119999999999,-3.1692719999999994,21.0,0.0,POINT (-90.7319 18.6152),49.36666666666667,5.270704765077601,0.0,51.6,0.0
3,0,4,0.8950495049504951,46.3,7.2768608414239475,30.0,46.3192068429238,15.48587412941641,108.64423184496617,79.82119999999999,-3.1692719999999994,10.0,0.0,POINT (-90.7319 18.6152),49.36666666666667,5.270704765077601,0.0,51.6,0.0
4,0,4,0.8950495049504951,46.3,7.2768608414239475,30.0,46.3192068429238,15.48587412941641,108.64423184496617,79.82119999999999,-3.1692719999999994,30.0,0.0,POINT (-90.7319 18.6152),49.36666666666667,5.270704765077601,0.0,51.6,0.0
5,0,4,0.8950495049504951,46.3,7.2768608414239475,17.0,46.3192068429238,15.48587412941641,108.64423184496617,79.82119999999999,-3.1692719999999994,21.0,0.0,POINT (-90.7319 18.6152),49.36666666666667,5.270704765077601,0.0,51.6,0.0
7,0,4,0.8950495049504951,46.3,7.2768608414239475,17.0,46.3192068429238,15.48587412941641,108.64423184496617,79.82119999999999,-3.1692719999999994,10.0,0.0,POINT (-90.7319 18.6152),49.36666666666667,5.270704765077601,0.0,51.6,0.0
8,0,4,0.8950495049504951,46.3,7.2768608414239475,17.0,46.3192068429238,15.48587412941641,108.64423184496617,79.82119999999999,-3.1692719999999994,30.0,0.0,POINT (-90.7319 18.6152),49.36666666666667,5.270704765077601,0.0,51.6,0.0
9,0,4,0.8950495049504951,46.3,7.2768608414239475,32.0,46.3192068429238,15.48587412941641,108.64423184496617,79.82119999999999,-3.1692719999999994,21.0,0.0,POINT (-90.7319 18.6152),49.36666666666667,5.270704765077601,0.0,51.6,0.0
11,0,4,0.8950495049504951,46.3,7.2768608414239475,32.0,46.3192068429238,15.48587412941641,108.64423184496617,79.82119999999999,-3.1692719999999994,10.0,0.0,POINT (-90.7319 18.6152),49.36666666666667,5.270704765077601,0.0,51.6,0.0
12,0,4,0.8950495049504951,46.3,7.2768608414239475,32.0,46.3192068429238,15.48587412941641,108.64423184496617,79.82119999999999,-3.1692719999999994,30.0,0.0,POINT (-90.7319 18.6152),49.36666666666667,5.270704765077601,0.0,51.6,0.0
13,0,4,0.8950495049504951,46.3,7.2768608414239475,24.0,46.3192068429238,15.48587412941641,108.64423184496617,79.82119999999999,-3.1692719999999994,21.0,0.0,POINT (-90.7319 18.6152),49.36666666666667,5.270704765077601,0.0,51.6,0.0
15,0,4,0.8950495049504951,46.3,7.2768608414239475,24.0,46.3192068429238,15.48587412941641,108.64423184496617,79.82119999999999,-3.1692719999999994,10.0,0.0,POINT (-90.7319 18.6152),49.36666666666667,5.270704765077601,0.0,51.6,0.0
16,0,4,0.8950495049504951,46.3,7.2768608414239475,24.0,46.3192068429238,15.48587412941641,108.64423184496617,79.82119999999999,-3.1692719999999994,30.0,0.0,POINT (-90.7319 18.6152),49.36666666666667,5.270704765077601,0.0,51.6,0.0
17,0,4,0.8950495049504951,72.8,7.2768608414239475,30.0,46.3192068429238,15.48587412941641,108.64423184496617,125.5072,-5.910431999999999,21.0,0.0,POINT (-90.7319 18.6152),48.687179487179485,9.538961186605254,0.0,51.6,0.0
19,0,4,0.8950495049504951,72.8,7.2768608414239475,30.0,46.3192068429238,15.48587412941641,108.64423184496617,125.5072,-5.910431999999999,10.0,0.0,POINT (-90.7319 18.6152),48.687179487179485,9.538961186605254,0.0,51.6,0.0
20,0,4,0.8950495049504951,72.8,7.2768608414239475,30.0,46.3192068429238,15.48587412941641,108.64423184496617,125.5072,-5.910431999999999,30.0,0.0,POINT (-90.7319 18.6152),48.687179487179485,9.538961186605254,0.0,51.6,0.0
21,0,4,0.8950495049504951,72.8,7.2768608414239475,17.0,46.3192068429238,15.48587412941641,108.64423184496617,125.5072,-5.910431999999999,21.0,0.0,POINT (-90.7319 18.6152),48.687179487179485,9.538961186605254,0.0,51.6,0.0
23,0,4,0.8950495049504951,72.8,7.2768608414239475,17.0,46.3192068429238,15.48587412941641,108.64423184496617,125.5072,-5.910431999999999,10.0,0.0,POINT (-90.7319 18.6152),48.687179487179485,9.538961186605254,0.0,51.6,0.0
24,0,4,0.8950495049504951,72.8,7.2768608414239475,17.0,46.3192068429238,15.48587412941641,108.64423184496617,125.5072,-5.910431999999999,30.0,0.0,POINT (-90.7319 18.6152),48.687179487179485,9.538961186605254,0.0,51.6,0.0
