date,elcosp,landcover,latitude,longitude,lower_depth,orgc,phaq,precipitation,sand,temperature,upper_depth,ecoregion,rock_fragments,silt_plus_clay,depth_fraction,soc_tha
10/10/2003,0.2,9,28.508804,-106.698715,8,2.0,9.1,113.9457397,100.0,15.17655277,0,5,13.175045999873442,0.0,1.0,-3.440960200668232
4/13/2005,0.1,17,27.46261,-114.0986,20,1.0,8.4,83.41119385,86.0,16.08542633,0,5,4.552547065468929,14.0,1.0,-0.5387650777607559
4/15/2005,0.2,17,27.798883,-114.15168,6,2.0,8.4,83.41119385,82.0,16.08542633,0,5,1.95936697067047,18.0,0.11538461538461539,-0.03128539969831972
5/29/2004,0.0,2,17.367722,-93.18515,14,1.0,5.5,147.1418762,98.0,16.67577553,0,1,1.0406002041132703,2.0,1.0,-0.0061572645550021145
8/6/2003,0.1,7,30.903263,-111.515,18,1.0,7.8,155.0924683,88.0,16.81706238,0,5,27.627750853665546,12.0,1.0,-4.038258183463503
11/13/2003,0.0,14,16.528658,-97.65391,5,9.0,5.6,22.05642509,82.0,13.04871178,0,4,3.0637511014938354,18.0,1.0,-1.2798063530759813
11/14/2003,0.0,17,16.71785,-99.686264,30,3.0,5.3,22.05642509,92.0,13.04871178,0,2,0.0093150362913654,8.0,1.0,0.3892440849809774
6/3/2004,0.2,2,17.098019,-92.13995,25,50.0,5.1,175.6390991,79.0,16.9322319,0,1,1.094040571237358,21.0,1.0,1.6701605451754773
7/3/2003,0.4,12,23.910276,-104.95548,3,49.0,5.4,145.8343353,98.0,16.0439949,0,4,11.05045380913053,2.0,0.08823529411764706,14.98517696834774
9/18/2002,0.1,2,19.173162,-104.65806,12,8.0,6.6,163.5917969,95.0,16.4811573,0,7,6.3781338162060734,5.0,1.0,-3.409650789333592
10/10/2003,0.0,12,16.509172,-98.12676,25,4.0,5.7,113.9457397,78.0,15.17655277,12,2,0.007688375090353155,22.0,0.17567567567567569,0.08411112252758468
11/13/2003,0.1,8,18.891191,-98.49142,30,3.0,6.1,22.05642509,90.0,13.04871178,0,2,6.225403044918023,10.0,1.0,-2.053081757960471
11/6/2003,0.1,9,16.511047,-97.33236,6,18.0,4.6,22.05642509,83.0,13.04871178,0,4,8.560590308459819,17.0,1.0,3.292304413360678
12/5/2002,0.6,17,21.609869,-88.05069,30,10.0,8.2,20.71763039,96.0,12.58985233,0,7,0.135707646595235,4.0,1.0,0.5061296021538307
3/22/2002,0.0,9,24.7309,-108.0127,9,0.0,8.8,42.75613403,96.0,16.42529488,0,2,11.239168754947535,4.0,1.0,-0.0
4/11/2005,0.1,17,27.77323,-114.586784,11,1.0,9.0,83.41119385,94.0,16.08542633,0,5,11.175725247013048,6.0,0.171875,-0.26523918232298627
