elcosp,lower_depth,phaq,precipitation,sand,temperature,upper_depth,silt_plus_clay,soc_tha,landcover_2,landcover_4,landcover_5,landcover_6,landcover_7,landcover_8,landcover_9,landcover_10,landcover_11,landcover_12,landcover_13,landcover_14,landcover_16,landcover_17,ecoregion_2,ecoregion_3,ecoregion_4,ecoregion_5,ecoregion_6,ecoregion_7
0.2,8,9.1,113.9457397,100.0,15.17655277,0,0.0,-27.527681605345855,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0.1,20,8.4,83.41119385,86.0,16.08542633,0,14.0,-10.775301555215119,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.2,6,8.4,83.41119385,82.0,16.08542633,0,18.0,-1.6268407843126256,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.0,14,5.5,147.1418762,98.0,16.67577553,0,2.0,-0.0862017037700296,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.1,18,7.8,155.0924683,88.0,16.81706238,0,12.0,-72.68864730234304,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.0,5,5.6,22.05642509,82.0,13.04871178,0,18.0,-6.399031765379907,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
0.0,30,5.3,22.05642509,92.0,13.04871178,0,8.0,11.677322549429324,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
0.2,25,5.1,175.6390991,79.0,16.9322319,0,21.0,41.75401362938693,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.4,3,5.4,145.8343353,98.0,16.0439949,0,2.0,509.4960169238232,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0.1,12,6.6,163.5917969,95.0,16.4811573,0,5.0,-40.915809472003104,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.0,25,5.7,113.9457397,78.0,15.17655277,12,22.0,6.224223067041266,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0.1,30,6.1,22.05642509,90.0,13.04871178,0,10.0,-61.59245273881413,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0.1,6,4.6,22.05642509,83.0,13.04871178,0,17.0,19.753826480164065,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0.6,30,8.2,20.71763039,96.0,12.58985233,0,4.0,15.183888064614923,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
0.0,9,8.8,42.75613403,96.0,16.42529488,0,4.0,-0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
0.1,11,9.0,83.41119385,94.0,16.08542633,0,6.0,-16.97530766867112,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,21,8.9,83.41119385,88.0,16.08542633,11,12.0,-0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,16,8.2,83.41119385,96.0,16.08542633,0,4.0,-8.089678739904294,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,20,8.6,83.41119385,92.0,16.08542633,0,8.0,-0.22742308912576278,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,20,8.5,83.41119385,84.0,16.08542633,6,16.0,-3.795961830062793,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
1.5,10,8.6,83.41119385,92.0,16.08542633,0,8.0,1.3274054423716373,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
11.7,20,5.6,83.41119385,74.0,16.08542633,8,26.0,-0.5888562962582917,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.0,15,6.9,83.12443542,98.0,16.3982811,0,2.0,-10.769016539027193,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.1,10,8.5,83.41119385,86.0,16.08542633,0,14.0,-3.3101071786116725,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.0,20,8.0,83.41119385,72.0,16.08542633,9,28.0,-23.41662437937159,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,9,7.9,83.41119385,72.0,16.08542633,0,28.0,-0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,8,8.9,83.41119385,84.0,16.08542633,0,16.0,-18.29303262371037,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,8,8.6,83.41119385,84.0,16.08542633,0,16.0,-3.9338338570780835,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,20,8.8,83.41119385,76.0,16.08542633,0,24.0,-4.822292431725609,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,23,9.0,179.6077271,96.0,16.42349434,0,4.0,-0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
0.1,5,6.0,147.1418762,94.0,16.67577553,0,6.0,160.7766204762916,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,15,6.2,179.6077271,90.0,16.42349434,0,10.0,6.799282931871725,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,30,5.7,179.6077271,92.0,16.42349434,15,8.0,5.878277401651457,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,27,6.1,179.6077271,86.0,16.42349434,13,14.0,3.946475782566188,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,23,7.1,88.00628662,70.0,16.90192795,0,30.0,-58.5220195085581,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.1,30,8.9,88.00628662,94.0,16.90192795,0,6.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.0,26,8.0,214.8472137,90.0,16.5090847,0,10.0,-15.935990848354072,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
0.1,10,9.1,142.0421143,82.0,15.95401573,0,18.0,-72.85264607383212,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.0,16,5.1,165.5812531,82.0,16.67821503,6,18.0,3.918851601100971,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.1,18,8.3,165.5812531,90.0,16.67821503,0,10.0,-32.77773169929381,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.0,17,8.2,142.0421143,84.0,15.95401573,0,16.0,-83.07286482859585,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
