date,profile_id,longitude,latitude,upper_depth,lower_depth,country_name,bdfi33,bdfiod,bdwsod,cecph7,cfgr,cfvo,clay,ecec,elco20,elcosp,nitkjd,orgc,phaq,phca,phetb1,phkc,phnf,phprtn,sand,silt,tceq,totc,wg0006,wg0010,wg0033,wg0200,wg1500
1964-??-??,1239928,-90.73190307617188,18.61520004272461,0,4,Mexico,,,,,,,,,,,,46.3,,,,,,,30.0,21.0,,,,,,,
1964-??-??,1239928,-90.73190307617188,18.61520004272461,4,30,Mexico,,1.02,,,,,,,,,,24.3,,,,,,,28.0,26.0,,,,,,,
1964-??-??,1309540,-90.73190307617188,18.61520004272461,0,3,Mexico,,,,,,,,,,,,88.6,,,,,,,,,,,,,,,
1964-??-??,1309540,-90.73190307617188,18.61520004272461,3,20,Mexico,,,,,,,,,,,,65.0,,,,,,,48.0,18.0,,,,,,,
1964-??-??,1378840,-90.73190307617188,18.61520004272461,0,4,Mexico,,,,,,,,,,,,77.0,,,,,,,17.0,21.0,,,,,,,
1964-??-??,1378840,-90.73190307617188,18.61520004272461,4,18,Mexico,,0.74,,,,,,,,,,22.3,,,,,,,18.0,18.0,,,,,,,
1964-??-??,1482875,-90.73190307617188,18.61520004272461,0,2,Mexico,,,,,,,,,,,,107.7,,,,,,,24.0,11.0,,,,,,,
1964-??-??,1482875,-90.73190307617188,18.61520004272461,2,28,Mexico,,0.96,,,,,,,,,,29.5,,,,,,,39.0,10.0,,,,,,,
1964-??-??,1552483,-90.73190307617188,18.61520004272461,0,4,Mexico,,,,,,,,,,,,72.8,,,,,,,32.0,10.0,,,,,,,
1964-??-??,1552483,-90.73190307617188,18.61520004272461,4,17,Mexico,,0.77,,,,,,,,,,17.2,,,,,,,17.0,15.0,,,,,,,
1964-??-??,1552484,-90.73190307617188,18.61520004272461,0,4,Mexico,,,,,,,,,,,,85.8,,,,,,,24.0,30.0,,,,,,,
1964-??-??,1552484,-90.73190307617188,18.61520004272461,4,20,Mexico,,0.6,,,,,,,,,,75.8,,,,,,,17.0,23.0,,,,,,,
1964-??-??,1657025,-90.73190307617188,18.61520004272461,0,4,Mexico,,,,,,,,,,,,176.8,,,,,,,,,,,,,,,
1964-??-??,1657025,-90.73190307617188,18.61520004272461,4,20,Mexico,,,,,,,,,,,,35.7,,,,,,,6.0,16.0,,,,,,,
1969-8-11,1358127,-100.4624931532973,21.496250642245176,0,15,Mexico,,,,,,,40.0,,,2.0,,26.0,6.3,,,,,,44.0,16.0,0.0,,,,,,
1969-8-15,1601435,-101.69588720366309,21.74167304403519,0,12,Mexico,,,,,,,22.0,,,2.0,,9.0,6.1,,,,,,48.0,30.0,0.0,,,,,,
1969-8-15,1601435,-101.69588720366309,21.74167304403519,12,28,Mexico,,,,,,,26.0,,,2.0,,6.0,6.4,,,,,,46.0,28.0,0.0,,,,,,
1969-8-21,1149366,-102.5732279104481,22.971119500012314,0,18,Mexico,,,,,,,8.0,,,2.0,,31.0,7.5,,,,,,60.0,32.0,,,,,,,
1969-8-5,1184329,-101.57868517715933,21.88756431824891,0,15,Mexico,,,,,,,16.0,,,2.0,,6.0,7.1,,,,,,48.0,36.0,,,,,,,
1969-8-5,1496958,-101.48303583344769,21.801815698525886,0,15,Mexico,,,,,,,14.0,,,2.0,,4.0,6.2,,,,,,62.0,24.0,0.0,,,,,,
1969-8-7,1219131,-101.55262161345883,21.67496685979649,0,30,Mexico,,,,,,,16.0,,,2.0,,10.0,6.4,,,,,,58.0,26.0,0.0,,,,,,
1969-9-7,1253950,-100.81132106341794,21.916830055077874,0,20,Mexico,,,,,,,28.0,,,2.0,,10.0,6.0,,,,,,54.0,18.0,0.0,,,,,,
1969-9-7,1323320,-101.82788474263606,21.271137577257935,0,17,Mexico,,,,,,,12.0,,,2.0,,3.0,6.1,,,,,,68.0,20.0,0.0,,,,,,
1969-9-7,1323320,-101.82788474263606,21.271137577257935,17,30,Mexico,,,,,,,18.0,,,2.0,,2.0,6.1,,,,,,56.0,26.0,0.0,,,,,,
1970-1-8,1184273,-102.63353609431066,22.171761859229512,0,25,Mexico,,,,,,,20.0,,,2.0,,27.0,6.5,,,,,,50.0,30.0,0.0,,,,,,
1970-10-16,1427624,-103.62526141671093,22.3604543343656,0,18,Mexico,,,,,,,26.0,,,2.0,,38.0,5.7,,,,,,60.0,14.0,0.0,,,,,,
1970-10-17,1288656,-103.51331574655457,22.454840563490134,0,10,Mexico,,,,,,,30.0,,,2.0,,18.0,6.0,,,,,,34.0,36.0,0.0,,,,,,
1970-10-17,1288656,-103.51331574655457,22.454840563490134,10,18,Mexico,,,,,,,28.0,,,2.0,,10.0,6.1,,,,,,40.0,32.0,0.0,,,,,,
1970-10-17,1288656,-103.51331574655457,22.454840563490134,18,25,Mexico,,,,,,,34.0,,,2.0,,4.0,7.0,,,,,,28.0,38.0,0.0,,,,,,
1970-10-7,1219063,-103.27509688875539,22.05058154166174,0,28,Mexico,,,,,,,44.0,,,2.0,,19.0,7.8,,,,,,34.0,22.0,,,,,,,
1970-10-7,1566521,-103.20777670920819,22.228271875657338,0,13,Mexico,,,,,,,20.0,,,2.0,,23.0,7.8,,,,,,56.0,24.0,,,,,,,
1970-10-8,1149371,-103.32354953102134,22.309332219197515,0,20,Mexico,,,,,,,20.0,,,2.0,,17.0,7.0,,,,,,54.0,26.0,0.0,,,,,,
1970-10-9,1531695,-103.12661076004385,22.191004474213194,0,26,Mexico,,,,,,,22.0,,,2.0,,17.0,7.6,,,,,,42.0,36.0,,,,,,,
1970-10-9,1670816,-103.42117178166045,22.314314849347515,0,20,Mexico,,,,,,,20.0,,,2.0,,27.0,6.1,,,,,,56.0,24.0,0.0,,,,,,
1970-11-16,1636207,-103.77677305085383,22.781553723888873,0,14,Mexico,,,,,,,26.0,,,2.0,,36.0,6.0,,,,,,38.0,36.0,0.0,,,,,,
1970-11-16,1636207,-103.77677305085383,22.781553723888873,14,25,Mexico,,,,,,,28.0,,,2.0,,60.0,5.4,,,,,,30.0,42.0,0.0,,,,,,
1970-4-10,1219037,-104.36652037030423,23.62153979525999,0,25,Mexico,,,,,,,12.0,,,2.0,,5.0,8.1,,,,,,64.0,24.0,,,,,,,
1970-4-22,1149617,-102.78964685467962,26.534629316184827,0,20,Mexico,,,,,,,18.0,,,2.0,,10.0,8.8,,,,,,52.0,30.0,,,,,,,
1970-7-15,1531693,-102.61946442602274,22.572406290906724,0,21,Mexico,,,,,,,19.0,,,2.0,,15.0,7.6,,,,,,55.0,26.0,,,,,,,
1970-7-15,1601385,-102.3159516314255,22.70201101460833,0,15,Mexico,,,,,,,21.0,,,2.0,,30.0,8.3,,,,,,47.0,32.0,,,,,,,
1970-7-19,1601386,-102.79629730051168,22.687784471372243,0,13,Mexico,,,,,,,33.0,,,2.0,,46.0,5.9,,,,,,39.0,28.0,0.0,,,,,,
1970-7-19,1601387,-102.68175166751837,22.64761805522275,0,28,Mexico,,,,,,,21.0,,,2.0,,14.0,7.6,,,,,,55.0,24.0,,,,,,,
1970-7-26,1670814,-102.71688303596454,22.385205688418726,0,11,Mexico,,,,,,,12.0,,,2.0,,8.0,6.3,,,,,,60.0,28.0,0.0,,,,,,
1970-7-26,1670814,-102.71688303596454,22.385205688418726,11,12,Mexico,,,,,,,38.0,,,2.0,,7.0,7.3,,,,,,38.0,24.0,,,,,,,
1970-8-10,1288884,-102.14690056927083,26.87720668924421,0,12,Mexico,,,,,,,20.0,,,2.0,,10.0,8.1,,,,,,30.0,50.0,,,,,,,
1970-8-11,1496864,-104.6658607937395,23.319201391549175,0,25,Mexico,,,,,,,18.0,,,2.0,,39.0,5.6,,,,,,32.0,50.0,0.0,,,,,,
1970-8-11,1566720,-102.97838530010092,26.841684473944316,0,12,Mexico,,,,,,,22.0,,,2.0,,8.0,8.2,,,,,,50.0,28.0,,,,,,,
1970-8-13,1531906,-103.57941897299419,26.79009812995949,0,9,Mexico,,,,,,,26.0,,,2.0,,29.0,8.0,,,,,,46.0,28.0,,,,,,,
1970-8-13,1531906,-103.57941897299419,26.79009812995949,9,22,Mexico,,,,,,,30.0,,,2.0,,11.0,8.0,,,,,,48.0,22.0,,,,,,,
1970-8-14,1149614,-103.40494204889491,26.775805940412027,0,17,Mexico,,,,,,,18.0,,,2.0,,5.0,7.8,,,,,,52.0,30.0,,,,,,,
1970-8-14,1219060,-102.44960886685516,22.180882015513497,0,20,Mexico,,,,,,,28.0,,,2.0,,11.0,7.1,,,,,,54.0,18.0,,,,,,,
