profile_id,latitude,longitude,upper_depth,lower_depth,date,bdfi33,bdfiod,bdwsod,cecph7,cfgr,cfvo,clay,ecec,elco20,elcosp,nitkjd,orgc,phaq,phca,phetb1,phkc,phnf,phprtn,sand,silt,totc,wg0006,wg0010,wg0033,wg0200,wg1500
1147760,18.1980553,-91.5366669,0,5,1991-11-4,1.33,1.84,,40.5,,,52.4,,,,3.11,31.0,5.9,5.4,3.0,,,30.0,11.9,35.7,30.2,,32.4,32.4,32.4,25.9
1147760,18.1980553,-91.5366669,5,20,1991-11-4,,,,,,,,,,,,,,,,,,,,24.2,,,,,,
1147760,18.1980553,-91.5366669,5,24,1991-11-4,1.21,1.87,,38.0,,,54.2,,,,1.6,11.7,6.0,5.2,0.0,,,30.0,11.4,34.4,11.2,,,37.9,31.5,23.8
1147760,18.1980553,-91.5366669,24,45,1991-11-4,1.2,,,42.2,,,60.2,49.3,,,1.03,5.6,5.1,4.3,0.0,,,45.0,9.8,30.0,5.1,,37.4,36.3,34.5,28.3
1147760,18.1980553,-91.5366669,45,68,1991-11-4,1.16,2.11,,50.5,,,71.7,,,,0.77,2.8,5.7,5.4,0.0,,,46.0,6.9,21.4,3.6,,45.0,43.5,37.9,29.0
1147760,18.1980553,-91.5366669,68,108,1991-11-4,1.17,1.99,,51.7,,,71.7,64.75,,,0.71,1.8,5.2,4.7,0.0,,,40.0,6.5,21.8,2.0,,45.9,44.1,36.6,28.3
1147760,18.1980553,-91.5366669,108,147,1991-11-4,1.2,2.08,,54.7,,,75.3,71.3,0.8,,0.58,1.1,4.9,4.8,0.0,,,36.0,3.7,21.0,1.2,,40.9,40.7,36.8,28.7
1147760,18.1980553,-91.5366669,147,200,1991-11-4,1.17,1.91,,53.4,,,64.7,,3.4,,0.6,0.1,6.8,6.9,0.0,,,56.0,2.1,33.2,2.0,,45.5,44.5,37.1,29.3
1147760,18.1980553,-91.5366669,200,265,1991-11-4,,,,38.1,,,46.8,,2.1,,0.48,0.4,7.7,7.6,0.0,,,24.0,4.8,48.4,15.9,,,,30.9,23.8
1147761,20.8666668,-102.7166672,0,20,1991-10-29,1.3,1.45,,13.5,,,47.4,,0.2,,1.16,8.2,6.0,5.6,,4.9,8.5,34.0,18.3,34.3,8.5,,,27.4,,17.4
1147761,20.8666668,-102.7166672,20,46,1991-10-29,1.28,1.42,,14.8,,,67.1,,0.2,,0.82,3.0,6.2,5.9,,5.3,8.8,40.0,11.1,21.8,3.5,,,27.6,,23.4
1147761,20.8666668,-102.7166672,46,63,1991-10-29,1.37,1.49,,13.0,,,65.3,,0.2,,0.77,2.2,6.2,5.9,,5.3,8.8,42.0,10.8,23.9,2.8,,,26.0,,23.9
1147761,20.8666668,-102.7166672,63,86,1991-10-29,1.36,1.48,,12.1,,,70.9,,0.3,0.7,0.74,1.5,6.1,5.8,,5.2,8.6,42.0,7.5,21.6,2.1,,,28.5,,24.9
1147761,20.8666668,-102.7166672,86,121,1991-10-29,1.37,1.47,,12.4,,,83.8,,0.2,,0.72,1.1,6.0,5.7,,5.1,8.6,47.0,2.9,13.3,1.8,,,30.9,,27.5
1147761,20.8666668,-102.7166672,121,145,1991-10-29,1.34,1.4,,12.7,,,81.8,,0.2,,0.61,0.9,6.0,5.7,,5.1,8.8,42.0,3.0,15.2,1.6,,,32.7,,30.7
1147761,20.8666668,-102.7166672,145,175,1991-10-29,1.35,1.44,,12.4,,,79.1,,0.2,,0.65,0.9,5.9,5.6,,5.0,8.6,43.0,3.6,17.3,1.5,,,30.4,,27.7
1147761,20.8666668,-102.7166672,175,200,1991-10-29,1.28,1.38,,12.3,,,72.8,,0.1,,0.58,0.3,6.0,5.6,,5.0,8.6,43.0,7.2,20.0,1.5,,,33.2,,27.4
1149108,15.775138083103498,-96.73274916235466,0,21,1986-10-12,,,,,,,4.0,,,1.0,,10.0,5.5,,,,,,66.0,30.0,,,,,,
1149115,15.375746884890617,-92.92487241876384,0,22,2004-5-27,,,,,,,12.0,,,0.1,,14.0,5.9,,,,,,48.0,40.0,,,,,,
1149115,15.375746884890617,-92.92487241876384,22,48,2004-5-27,,,,,,,14.0,,,0.0,,3.0,5.9,,,,,,30.0,56.0,,,,,,
1149115,15.375746884890617,-92.92487241876384,48,82,2004-5-27,,,,,,,10.0,,,0.0,,0.0,6.4,,,,,,88.0,2.0,,,,,,
1149115,15.375746884890617,-92.92487241876384,82,102,2004-5-27,,,,,,,12.0,,,0.0,,0.0,6.4,,,,,,76.0,12.0,,,,,,
1149115,15.375746884890617,-92.92487241876384,102,125,2004-5-27,,,,,,,8.0,,,0.0,,0.0,6.6,,,,,,88.0,4.0,,,,,,
1149116,15.933932966577258,-93.80553111244994,0,15,2004-11-12,,,,,,,10.0,,,0.1,,10.0,5.9,,,,,,84.0,6.0,,,,,,
1149116,15.933932966577258,-93.80553111244994,15,40,2004-11-12,,,,,,,8.0,,,0.0,,5.0,6.6,,,,,,90.0,2.0,,,,,,
1149116,15.933932966577258,-93.80553111244994,40,65,2004-11-12,,,,,,,8.0,,,0.0,,2.0,7.0,,,,,,92.0,0.0,,,,,,
1149116,15.933932966577258,-93.80553111244994,65,95,2004-11-12,,,,,,,8.0,,,0.0,,1.0,7.4,,,,,,92.0,0.0,,,,,,
1149116,15.933932966577258,-93.80553111244994,95,125,2004-11-12,,,,,,,8.0,,,0.0,,1.0,7.6,,,,,,92.0,0.0,,,,,,
1149117,14.871043661011813,-92.57573163097663,0,20,1984-4-15,,,,,,,2.0,,,1.0,,3.0,5.8,,,,,,94.0,4.0,,,,,,
1149117,14.871043661011813,-92.57573163097663,20,125,1984-4-15,,,,,,,2.0,,,1.0,,3.0,6.1,,,,,,96.0,2.0,,,,,,
1149118,14.761703209398638,-92.34085842019567,0,22,1984-4-15,,,,,,,20.0,,,1.0,,15.0,6.2,,,,,,50.0,30.0,,,,,,
1149118,14.761703209398638,-92.34085842019567,22,65,1984-4-15,,,,,,,30.0,,,1.0,,15.0,6.7,,,,,,48.0,22.0,,,,,,
1149118,14.761703209398638,-92.34085842019567,65,79,1984-4-15,,,,,,,32.0,,,1.0,,2.0,6.7,,,,,,48.0,20.0,,,,,,
1149118,14.761703209398638,-92.34085842019567,79,91,1984-4-15,,,,,,,16.0,,,1.0,,1.0,6.6,,,,,,70.0,14.0,,,,,,
1149118,14.761703209398638,-92.34085842019567,91,110,1984-4-15,,,,,,,6.0,,,1.0,,1.0,6.5,,,,,,80.0,14.0,,,,,,
1149118,14.761703209398638,-92.34085842019567,110,125,1984-4-15,,,,,,,8.0,,,1.0,,1.0,6.5,,,,,,80.0,12.0,,,,,,
1149120,19.94110915723029,-104.97987623659073,0,28,1990-7-12,,,,,,,10.0,,,1.0,,2.0,4.9,,,,,,72.0,18.0,,,,,,
1149120,19.94110915723029,-104.97987623659073,28,55,1990-7-12,,,,,,,8.0,,,1.0,,2.0,5.4,,,,,,80.0,12.0,,,,,,
1149120,19.94110915723029,-104.97987623659073,55,81,1990-7-12,,,,,,,8.0,,,1.0,,1.0,5.0,,,,,,70.0,22.0,,,,,,
1149120,19.94110915723029,-104.97987623659073,81,103,1990-7-12,,,,,,,8.0,,,1.0,,1.0,5.1,,,,,,78.0,14.0,,,,,,
1149120,19.94110915723029,-104.97987623659073,103,125,1990-7-12,,,,,,,8.0,,,1.0,,1.0,5.1,,,,,,72.0,20.0,,,,,,
1149123,19.69568747966163,-104.61654843746298,0,20,1990-7-7,,,,,,,32.0,,,1.0,,10.0,4.2,,,,,,52.0,16.0,,,,,,
1149123,19.69568747966163,-104.61654843746298,20,43,1990-7-7,,,,,,,34.0,,,1.0,,7.0,4.7,,,,,,48.0,18.0,,,,,,
1149123,19.69568747966163,-104.61654843746298,43,70,1990-7-7,,,,,,,36.0,,,1.0,,5.0,5.3,,,,,,48.0,16.0,,,,,,
1149123,19.69568747966163,-104.61654843746298,70,98,1990-7-7,,,,,,,38.0,,,1.0,,4.0,5.2,,,,,,42.0,20.0,,,,,,
1149124,19.399077838240576,-104.55818141764506,0,9,1990-7-3,,,,,,,34.0,,,1.0,,20.0,5.9,,,,,,40.0,26.0,,,,,,
1149124,19.399077838240576,-104.55818141764506,9,35,1990-7-3,,,,,,,46.0,,,1.0,,13.0,6.2,,,,,,36.0,18.0,,,,,,
1149124,19.399077838240576,-104.55818141764506,35,64,1990-7-3,,,,,,,60.0,,,1.0,,5.0,6.5,,,,,,22.0,18.0,,,,,,
1149124,19.399077838240576,-104.55818141764506,64,90,1990-7-3,,,,,,,58.0,,,1.0,,4.0,6.2,,,,,,22.0,20.0,,,,,,
1149124,19.399077838240576,-104.55818141764506,90,115,1990-7-3,,,,,,,62.0,,,1.0,,4.0,6.4,,,,,,20.0,18.0,,,,,,
1149125,19.762345790773136,-104.28655809677966,0,30,2002-9-16,,,,,,,60.0,,,0.6,,6.0,8.7,,,,,,26.0,14.0,,,,,,
1149125,19.762345790773136,-104.28655809677966,30,61,2002-9-16,,,,,,,,,,3.3,,0.0,8.1,,,,,,,,,,,,,
1149125,19.762345790773136,-104.28655809677966,61,80,2002-9-16,,,,,,,,,,3.9,,6.0,8.3,,,,,,,,,,,,,
1149125,19.762345790773136,-104.28655809677966,80,95,2002-9-16,,,,,,,,,,3.5,,5.0,8.5,,,,,,,,,,,,,
1149125,19.762345790773136,-104.28655809677966,95,125,2002-9-16,,,,,,,,,,2.7,,0.0,8.9,,,,,,,,,,,,,
1149125,19.762345790773136,-104.28655809677966,125,140,2002-9-16,,,,,,,,,,2.8,,0.0,8.8,,,,,,,,,,,,,
1149126,19.93058509693626,-103.27674454589808,0,48,????-??-??,,,,,,,8.0,,,1.0,,,5.7,,,,,,56.0,36.0,,,,,,
1149126,19.93058509693626,-103.27674454589808,48,77,????-??-??,,,,,,,4.0,,,1.0,,,5.8,,,,,,56.0,40.0,,,,,,
1149126,19.93058509693626,-103.27674454589808,77,100,????-??-??,,,,,,,4.0,,,1.0,,,6.0,,,,,,52.0,44.0,,,,,,
1149131,19.532052351148863,-102.19395560775614,3,14,2002-11-22,,,,,,,4.0,,,0.0,,1.0,6.6,,,,,,84.0,12.0,,,,,,
